TAXON;Records_1921-1940;Records_1941-1960;Records_1961-1980;Records_1981-2000;Records_2001-2020;Trend_mediterranean;Trend_alpine;Trend_atlantic;Trend_boreal;Trend_continental;;;
Andrena freygessneri;5;0;8;10;18;NA;0.00504338570401796;NA;NA;NA;;;
Andrena fria;0;0;0;10;18;-0.0172222146751227;NA;NA;NA;NA;;;
Andrena fucata;478;596;1290;2677;4779;NA;0.00262425516289816;-0.0247228014437161;-0.178118359796277;-0.0324986936898263;;;
Andrena fulica;0;1;25;46;70;-0.0130602817549609;NA;NA;NA;NA;;;
Andrena fulva;274;510;3252;5498;11493;-0.0117164716785059;0.0564061773691459;0.025293273251886;0.577744487034383;-0.00124159949873578;;;
Andrena fulvago;182;262;269;532;2883;NA;NA;NA;NA;NA;;;
Andrena fulvata;60;32;54;676;1186;NA;0.0801003123688275;0.330951174298041;NA;-0.00398327070406969;;;
Andrena fulvicornis;2;15;84;46;107;0.00510238775456814;-0.104534089887625;NA;NA;0.0155971952466438;;;
Andrena fulvida;76;131;79;171;784;NA;0.017401888234995;-0.0240502648323859;0.0155880961614196;-0.0242366260225572;;;
Andrena fulvitarsis;0;0;3;5;9;0.198615046644762;NA;NA;NA;NA;;;
Andrena fumida;6;0;3;0;4;-0.0348602969329641;NA;NA;NA;NA;;;
Andrena funerea;0;3;8;108;0;NA;NA;NA;NA;NA;;;
Andrena fuscipes;339;531;697;1904;5190;0.0024984293376733;-0.00623126899850644;0.0108353380018665;-0.0114936789800749;-0.000873694826613116;;;
Andrena fuscosa;51;6;13;36;68;NA;NA;NA;NA;NA;;;
Andrena gamskrucki;0;0;1;6;0;NA;NA;NA;NA;NA;;;
Andrena garrula;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena gelriae;102;198;130;38;130;NA;NA;NA;NA;NA;;;
Andrena ghisbaini;0;0;0;1;0;NA;NA;NA;NA;NA;;;
Andrena graciliata;0;0;5;0;0;NA;NA;NA;NA;NA;;;
Andrena graecella;0;0;0;0;4;NA;NA;NA;NA;NA;;;
Andrena granulosa;1;2;44;62;50;NA;NA;NA;NA;NA;;;
Andrena gravida;215;282;458;577;2951;NA;NA;NA;NA;NA;;;
Andrena gredana;0;0;2;34;5;NA;NA;NA;NA;NA;;;
Andrena griseobalteata;1;1;8;6;8;-0.112134594382767;NA;NA;NA;0.00125509807463254;;;
Andrena grossella;0;0;2;3;0;NA;NA;NA;NA;NA;;;
Andrena haemorrhoa;1035;1450;5265;10828;32296;NA;NA;NA;NA;NA;;;
Andrena hattorfiana;620;922;732;1058;13603;0.01948994574897;0.0314481947036561;0.000664251663015454;0.00960453057482502;0.0115520012372425;;;
Andrena hedikae;1;7;24;15;32;-0.0205829811900485;NA;NA;NA;NA;;;
Andrena heinrichi;0;0;2;1;0;NA;NA;NA;NA;NA;;;
Andrena helvola;140;276;1151;2905;5969;NA;0.0161432859484562;-0.0492910758427277;0.0253261528088002;-0.0723888950238628;;;
Andrena henotica;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena hesperia;2;10;120;130;264;NA;NA;NA;NA;NA;;;
Andrena humabilis;0;0;0;0;1;NA;NA;NA;NA;NA;;;
Andrena humilis;341;384;928;1656;4364;NA;NA;NA;NA;NA;;;
Andrena hyacinthina;0;0;0;0;4;NA;NA;NA;NA;NA;;;
Andrena hyemala;0;0;4;1;11;-0.00102913251455469;NA;NA;NA;NA;;;
Andrena hypopolia;4;19;82;50;25;NA;NA;NA;NA;NA;;;
Andrena hystrix;0;4;1;20;34;-0.112596839805083;NA;NA;NA;NA;;;
Andrena icterina;0;0;0;3;5;NA;NA;NA;NA;NA;;;
Andrena impunctata;10;6;14;17;64;NA;NA;NA;NA;NA;;;
Andrena incisa;2;0;0;0;0;NA;NA;NA;NA;NA;;;
Andrena inconstans;2;0;0;2;0;NA;NA;NA;NA;NA;;;
Andrena intermedia;182;545;204;399;1874;-0.0249632119737048;0.0162670625295473;-0.0316622200869043;-0.0255079993190334;-0.0246021947237337;;;
Andrena juliae;0;0;1;0;0;NA;NA;NA;NA;NA;;;
Andrena juliana;0;0;1;1;0;NA;NA;NA;NA;NA;;;
Andrena kamarti;0;0;0;0;6;NA;NA;NA;NA;NA;;;
Andrena kocoureki;0;0;5;0;1;NA;NA;NA;NA;NA;;;
Andrena korleviciana;0;0;0;0;5;NA;NA;NA;NA;NA;;;
