"","sample","Estimator","region_year","region_100","endYear","record_count"
"112","Ratlantic_Y1932",113.84087309863,"Ratlantic_Y1932","atlantic",1932,2114
"113","Ratlantic_Y1933",107.524372897871,"Ratlantic_Y1933","atlantic",1933,1785
"114","Ratlantic_Y1934",110.103723121099,"Ratlantic_Y1934","atlantic",1934,2360
"115","Ratlantic_Y1935",107.39481230466,"Ratlantic_Y1935","atlantic",1935,2971
"116","Ratlantic_Y1936",119.992139683547,"Ratlantic_Y1936","atlantic",1936,3960
"117","Ratlantic_Y1937",116.539606581609,"Ratlantic_Y1937","atlantic",1937,3095
"118","Ratlantic_Y1938",118.487424501809,"Ratlantic_Y1938","atlantic",1938,2247
"119","Ratlantic_Y1939",118.798517005795,"Ratlantic_Y1939","atlantic",1939,2423
"120","Ratlantic_Y1940",87.3254433960987,"Ratlantic_Y1940","atlantic",1940,2191
"121","Ratlantic_Y1941",109.803952674795,"Ratlantic_Y1941","atlantic",1941,2843
"122","Ratlantic_Y1942",112.093533271368,"Ratlantic_Y1942","atlantic",1942,2615
"123","Ratlantic_Y1943",107.90921524456,"Ratlantic_Y1943","atlantic",1943,3063
"124","Ratlantic_Y1944",111.36791003468,"Ratlantic_Y1944","atlantic",1944,2391
"125","Ratlantic_Y1945",115.144529122331,"Ratlantic_Y1945","atlantic",1945,2630
"126","Ratlantic_Y1946",121.003097305438,"Ratlantic_Y1946","atlantic",1946,2155
"127","Ratlantic_Y1947",120.219253493867,"Ratlantic_Y1947","atlantic",1947,2330
"128","Ratlantic_Y1948",119.580774793873,"Ratlantic_Y1948","atlantic",1948,2638
"129","Ratlantic_Y1949",111.698360766752,"Ratlantic_Y1949","atlantic",1949,2472
"130","Ratlantic_Y1950",102.904733421777,"Ratlantic_Y1950","atlantic",1950,3150
"131","Ratlantic_Y1951",117.044004584902,"Ratlantic_Y1951","atlantic",1951,2792
"132","Ratlantic_Y1952",117.983990427393,"Ratlantic_Y1952","atlantic",1952,3776
"133","Ratlantic_Y1953",103.145191910253,"Ratlantic_Y1953","atlantic",1953,3555
"134","Ratlantic_Y1954",97.5097031447714,"Ratlantic_Y1954","atlantic",1954,3691
"135","Ratlantic_Y1955",99.0645705923591,"Ratlantic_Y1955","atlantic",1955,2207
"136","Ratlantic_Y1956",113.813106551685,"Ratlantic_Y1956","atlantic",1956,2915
"137","Ratlantic_Y1957",94.6315975187484,"Ratlantic_Y1957","atlantic",1957,3644
"138","Ratlantic_Y1958",124.06696027473,"Ratlantic_Y1958","atlantic",1958,2962
"139","Ratlantic_Y1959",85.7423406356416,"Ratlantic_Y1959","atlantic",1959,5153
"140","Ratlantic_Y1960",78.5156699641387,"Ratlantic_Y1960","atlantic",1960,6623
"141","Ratlantic_Y1961",103.36019406824,"Ratlantic_Y1961","atlantic",1961,5188
"142","Ratlantic_Y1962",116.152341390975,"Ratlantic_Y1962","atlantic",1962,3951
"143","Ratlantic_Y1963",95.3379015629055,"Ratlantic_Y1963","atlantic",1963,4399
"144","Ratlantic_Y1964",101.760726963103,"Ratlantic_Y1964","atlantic",1964,3345
"145","Ratlantic_Y1965",104.912922474337,"Ratlantic_Y1965","atlantic",1965,3721
"146","Ratlantic_Y1966",100.734254633924,"Ratlantic_Y1966","atlantic",1966,3521
"147","Ratlantic_Y1967",101.87763021415,"Ratlantic_Y1967","atlantic",1967,3084
"148","Ratlantic_Y1968",103.92423247505,"Ratlantic_Y1968","atlantic",1968,3987
"149","Ratlantic_Y1969",102.296090302966,"Ratlantic_Y1969","atlantic",1969,3994
"150","Ratlantic_Y1970",102.550218191369,"Ratlantic_Y1970","atlantic",1970,5809
"151","Ratlantic_Y1971",104.517975571689,"Ratlantic_Y1971","atlantic",1971,6287
"152","Ratlantic_Y1972",70.0168754315862,"Ratlantic_Y1972","atlantic",1972,11377
"153","Ratlantic_Y1973",72.8310318125141,"Ratlantic_Y1973","atlantic",1973,7183
"154","Ratlantic_Y1974",82.4826343330852,"Ratlantic_Y1974","atlantic",1974,10667
"155","Ratlantic_Y1975",86.1163752355143,"Ratlantic_Y1975","atlantic",1975,9791
