region_50,endYear,taxo_group,nsites,mean_nsurv,nrec
alpine,2019,hoverflies,97,3.09278350515464,1921
alpine,2020,bees,149,2.42953020134228,10561
alpine,2020,hoverflies,87,4.20689655172414,2619
atlantic,1921,bees,70,2.1,908
atlantic,1921,hoverflies,49,2.18367346938776,237
atlantic,1922,bees,78,2.15384615384615,912
atlantic,1922,hoverflies,25,1.44,66
atlantic,1923,bees,79,2.07594936708861,1264
atlantic,1923,hoverflies,14,1.35714285714286,25
atlantic,1924,bees,84,2.14285714285714,1361
atlantic,1924,hoverflies,37,1.40540540540541,83
atlantic,1925,bees,77,2.27272727272727,1545
atlantic,1925,hoverflies,30,1.63333333333333,89
atlantic,1926,bees,91,2.51648351648352,1946
atlantic,1926,hoverflies,25,1.88,65
atlantic,1927,bees,74,2.43243243243243,1804
atlantic,1927,hoverflies,17,1.47058823529412,35
atlantic,1928,bees,68,2.48529411764706,1650
atlantic,1928,hoverflies,19,1.94736842105263,51
atlantic,1929,bees,78,2.43589743589744,1690
atlantic,1929,hoverflies,22,1.68181818181818,47
atlantic,1930,bees,87,2.42528735632184,1778
atlantic,1930,hoverflies,9,1.22222222222222,12
atlantic,1931,bees,82,2.30487804878049,1475
atlantic,1931,hoverflies,18,1.5,40
atlantic,1932,bees,74,2.47297297297297,1431
atlantic,1932,hoverflies,31,1.51612903225806,77
atlantic,1933,bees,90,2.05555555555556,1000
atlantic,1933,hoverflies,29,1.72413793103448,77
atlantic,1934,bees,98,2.03061224489796,1319
atlantic,1934,hoverflies,18,2,57
atlantic,1935,bees,104,2.41346153846154,2847
atlantic,1935,hoverflies,26,1.5,101
atlantic,1936,bees,114,2.42105263157895,2284
atlantic,1936,hoverflies,30,2,193
atlantic,1937,bees,87,2.2183908045977,1579
atlantic,1937,hoverflies,23,1.78260869565217,115
atlantic,1938,bees,78,2.46153846153846,1269
atlantic,1938,hoverflies,43,1.44186046511628,121
atlantic,1939,bees,83,2.33734939759036,983
atlantic,1939,hoverflies,27,1.7037037037037,68
atlantic,1940,bees,66,2.33333333333333,779
atlantic,1940,hoverflies,23,1.82608695652174,84
atlantic,1941,bees,67,2.76119402985075,1920
atlantic,1941,hoverflies,29,1.79310344827586,68
atlantic,1942,bees,74,2.7027027027027,1986
atlantic,1942,hoverflies,39,1.69230769230769,107
atlantic,1943,bees,69,2.94202898550725,2354
atlantic,1943,hoverflies,30,2.06666666666667,117
atlantic,1944,bees,72,2.58333333333333,1602
atlantic,1944,hoverflies,39,2.33333333333333,167
atlantic,1945,bees,74,2.56756756756757,1991
atlantic,1945,hoverflies,37,1.83783783783784,117
atlantic,1946,bees,84,2.55952380952381,1416
atlantic,1946,hoverflies,53,1.77358490566038,176
atlantic,1947,bees,76,2.42105263157895,1287
atlantic,1947,hoverflies,40,1.55,106
atlantic,1948,bees,91,2.57142857142857,1564
atlantic,1948,hoverflies,35,1.6,78
atlantic,1949,bees,81,2.37037037037037,1206
atlantic,1949,hoverflies,34,1.47058823529412,64
atlantic,1950,bees,103,2.11650485436893,1509
atlantic,1950,hoverflies,42,2.11904761904762,173
atlantic,1951,bees,103,2.23300970873786,1787
atlantic,1951,hoverflies,42,1.78571428571429,137
atlantic,1952,bees,96,2.61458333333333,2595
atlantic,1952,hoverflies,42,1.73809523809524,133
atlantic,1953,bees,91,2.61538461538462,2238
atlantic,1953,hoverflies,30,1.53333333333333,66
atlantic,1954,bees,104,2.40384615384615,2303
atlantic,1954,hoverflies,25,1.48,59
atlantic,1955,bees,89,2.04494382022472,1476
atlantic,1955,hoverflies,49,1.46938775510204,116
atlantic,1956,bees,90,2.15555555555556,1367
atlantic,1956,hoverflies,28,1.5,52
atlantic,1957,bees,77,2.45454545454545,2079
atlantic,1957,hoverflies,39,1.58974358974359,99
atlantic,1958,bees,84,2.35714285714286,2132
atlantic,1958,hoverflies,38,2.02631578947368,174
atlantic,1959,bees,99,2.16161616161616,3182
atlantic,1959,hoverflies,62,1.41935483870968,214
atlantic,1960,bees,90,2.28888888888889,2830
atlantic,1960,hoverflies,21,2.0952380952381,170
atlantic,1961,bees,107,2.2803738317757,2791
atlantic,1961,hoverflies,38,1.5,109
atlantic,1962,bees,83,2.31325301204819,2127
atlantic,1962,hoverflies,19,1.73684210526316,168
atlantic,1963,bees,127,2.18897637795276,2622
atlantic,1963,hoverflies,44,1.63636363636364,675
atlantic,1964,bees,98,2.53061224489796,1825
atlantic,1964,hoverflies,41,1.95121951219512,523
atlantic,1965,bees,111,2.41441441441441,2132
atlantic,1965,hoverflies,55,2.05454545454545,833
atlantic,1966,bees,114,2.35087719298246,2553
atlantic,1966,hoverflies,62,2.35483870967742,634
atlantic,1967,bees,113,2.32743362831858,1979
