"","sample","Estimator","region_year","region_100","endYear","record_count"
"87","Ralpine_Y2007",65.4418903569137,"Ralpine_Y2007","alpine",2007,3373
"88","Ralpine_Y2008",63.2994004204017,"Ralpine_Y2008","alpine",2008,7830
"89","Ralpine_Y2009",55.5226392523323,"Ralpine_Y2009","alpine",2009,4407
"90","Ralpine_Y2010",43.8241686793914,"Ralpine_Y2010","alpine",2010,4536
"91","Ralpine_Y2011",64.8488191898171,"Ralpine_Y2011","alpine",2011,1678
"92","Ralpine_Y2012",63.0537022943,"Ralpine_Y2012","alpine",2012,5700
"93","Ralpine_Y2013",68.6933693563181,"Ralpine_Y2013","alpine",2013,9862
"94","Ralpine_Y2014",66.125742279308,"Ralpine_Y2014","alpine",2014,10799
"95","Ralpine_Y2015",66.5508603132925,"Ralpine_Y2015","alpine",2015,8000
"96","Ralpine_Y2016",69.3977803479723,"Ralpine_Y2016","alpine",2016,10417
"97","Ralpine_Y2017",69.5786938059815,"Ralpine_Y2017","alpine",2017,11980
"98","Ralpine_Y2018",73.7396365699626,"Ralpine_Y2018","alpine",2018,12106
"99","Ralpine_Y2019",72.3719326575082,"Ralpine_Y2019","alpine",2019,14845
"100","Ralpine_Y2020",63.7736970002477,"Ralpine_Y2020","alpine",2020,10604
"101","Ratlantic_Y1921",55.3658071924802,"Ratlantic_Y1921","atlantic",1921,1942
"102","Ratlantic_Y1922",60.8199378922876,"Ratlantic_Y1922","atlantic",1922,1702
"103","Ratlantic_Y1923",60.2541099060693,"Ratlantic_Y1923","atlantic",1923,2025
"104","Ratlantic_Y1924",62.573751182616,"Ratlantic_Y1924","atlantic",1924,2488
"105","Ratlantic_Y1925",63.2135650168649,"Ratlantic_Y1925","atlantic",1925,2275
"106","Ratlantic_Y1926",66.4829796125073,"Ratlantic_Y1926","atlantic",1926,2798
"107","Ratlantic_Y1927",68.8951587405912,"Ratlantic_Y1927","atlantic",1927,2399
"108","Ratlantic_Y1928",69.7677029075128,"Ratlantic_Y1928","atlantic",1928,2680
"109","Ratlantic_Y1929",73.0292617457172,"Ratlantic_Y1929","atlantic",1929,2188
"110","Ratlantic_Y1930",60.7627806134254,"Ratlantic_Y1930","atlantic",1930,4416
"111","Ratlantic_Y1931",69.0675630892266,"Ratlantic_Y1931","atlantic",1931,2345
"112","Ratlantic_Y1932",72.7452121063917,"Ratlantic_Y1932","atlantic",1932,2114
"113","Ratlantic_Y1933",68.6428202431667,"Ratlantic_Y1933","atlantic",1933,1785
"114","Ratlantic_Y1934",70.5512472484847,"Ratlantic_Y1934","atlantic",1934,2360
"115","Ratlantic_Y1935",68.4409751363716,"Ratlantic_Y1935","atlantic",1935,2971
"116","Ratlantic_Y1936",75.1100887228369,"Ratlantic_Y1936","atlantic",1936,3960
"117","Ratlantic_Y1937",72.548032206741,"Ratlantic_Y1937","atlantic",1937,3095
"118","Ratlantic_Y1938",74.3468795153201,"Ratlantic_Y1938","atlantic",1938,2247
"119","Ratlantic_Y1939",73.5725067336288,"Ratlantic_Y1939","atlantic",1939,2423
"120","Ratlantic_Y1940",56.989641301423,"Ratlantic_Y1940","atlantic",1940,2191
"121","Ratlantic_Y1941",71.0503181061264,"Ratlantic_Y1941","atlantic",1941,2843
"122","Ratlantic_Y1942",71.7089752328694,"Ratlantic_Y1942","atlantic",1942,2615
"123","Ratlantic_Y1943",69.6628213358228,"Ratlantic_Y1943","atlantic",1943,3063
"124","Ratlantic_Y1944",70.9373559002865,"Ratlantic_Y1944","atlantic",1944,2391
"125","Ratlantic_Y1945",73.0842509262097,"Ratlantic_Y1945","atlantic",1945,2630
"126","Ratlantic_Y1946",75.6647858376242,"Ratlantic_Y1946","atlantic",1946,2155
"127","Ratlantic_Y1947",74.7949417268368,"Ratlantic_Y1947","atlantic",1947,2330
"128","Ratlantic_Y1948",74.2497043851831,"Ratlantic_Y1948","atlantic",1948,2638
"129","Ratlantic_Y1949",70.48365158137,"Ratlantic_Y1949","atlantic",1949,2472
"130","Ratlantic_Y1950",65.0557482529753,"Ratlantic_Y1950","atlantic",1950,3150
"131","Ratlantic_Y1951",73.8580694346046,"Ratlantic_Y1951","atlantic",1951,2792
"132","Ratlantic_Y1952",74.010106022454,"Ratlantic_Y1952","atlantic",1952,3776
"133","Ratlantic_Y1953",65.865964808455,"Ratlantic_Y1953","atlantic",1953,3555
"134","Ratlantic_Y1954",61.8433052139683,"Ratlantic_Y1954","atlantic",1954,3691
"135","Ratlantic_Y1955",62.7116843786125,"Ratlantic_Y1955","atlantic",1955,2207
"136","Ratlantic_Y1956",71.7199849934644,"Ratlantic_Y1956","atlantic",1956,2915
"137","Ratlantic_Y1957",59.0608749759019,"Ratlantic_Y1957","atlantic",1957,3644
"138","Ratlantic_Y1958",76.3953500314033,"Ratlantic_Y1958","atlantic",1958,2962
"139","Ratlantic_Y1959",52.7837853111101,"Ratlantic_Y1959","atlantic",1959,5153
"140","Ratlantic_Y1960",49.8621243865521,"Ratlantic_Y1960","atlantic",1960,6623
"141","Ratlantic_Y1961",65.2389350043658,"Ratlantic_Y1961","atlantic",1961,5188
"142","Ratlantic_Y1962",72.9675685253729,"Ratlantic_Y1962","atlantic",1962,3951
"143","Ratlantic_Y1963",60.8196489905585,"Ratlantic_Y1963","atlantic",1963,4399
"144","Ratlantic_Y1964",66.2831280270097,"Ratlantic_Y1964","atlantic",1964,3345
"145","Ratlantic_Y1965",68.1529773911245,"Ratlantic_Y1965","atlantic",1965,3721
"146","Ratlantic_Y1966",65.029085941708,"Ratlantic_Y1966","atlantic",1966,3521
"147","Ratlantic_Y1967",65.742452434432,"Ratlantic_Y1967","atlantic",1967,3084
"148","Ratlantic_Y1968",66.7568899467578,"Ratlantic_Y1968","atlantic",1968,3987
"149","Ratlantic_Y1969",65.9384354836695,"Ratlantic_Y1969","atlantic",1969,3994
"150","Ratlantic_Y1970",66.2602361874451,"Ratlantic_Y1970","atlantic",1970,5809
"151","Ratlantic_Y1971",67.9394520969152,"Ratlantic_Y1971","atlantic",1971,6287
"152","Ratlantic_Y1972",45.5016443585964,"Ratlantic_Y1972","atlantic",1972,11377
"153","Ratlantic_Y1973",47.437506485249,"Ratlantic_Y1973","atlantic",1973,7183
