"","endYear",".estimate","std_error","conf.low","conf.high","region_100","min_year","max_year",".smooth",".derivative",".lower_ci",".upper_ci","sig"
"76",1980,65.036191303157,1.81619998031406,61.4565009000794,68.6158817062346,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.168544834855407,-0.436644610372327,0.0995549406615125,"Stable"
"77",1980,80.1345814771281,5.71386933485343,68.8726700994628,91.3964928547934,"boreal",1966,2020,"s(endYear):region_100boreal",0.281050554479245,-0.231457851604718,0.793558960563208,"Stable"
"78",1980,92.2518594179759,5.31741051837008,81.7713596887875,102.732359147164,"continental",1955,2020,"s(endYear):region_100continental",0.642512920394277,-0.809164045685016,2.09418988647357,"Stable"
"79",1980,58.504495252489,13.7106198872172,31.4811635916057,85.5278269133723,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",1.66433949034538,-2.1731259740231,5.50180495471387,"Stable"
"80",1981,94.1868805382532,5.65250064587779,83.0459255031475,105.327835573359,"alpine",1966,2020,"s(endYear):region_100alpine",1.76440609210497,0.144544209598502,3.38426797461144,"Increasing"
"81",1981,64.8533848513403,1.77674502911089,61.3514592933825,68.355310409298,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.197034182230305,-0.450122657670564,0.0560542932099539,"Stable"
"82",1981,80.4156288706622,5.5308512366784,69.5144421580822,91.3168155832422,"boreal",1966,2020,"s(endYear):region_100boreal",0.281044683745082,-0.231401671578264,0.793491039068429,"Stable"
"83",1981,92.8370061249998,4.9295607943388,83.1209497115255,102.553062538474,"continental",1955,2020,"s(endYear):region_100continental",0.527918883702164,-0.839247327125798,1.89508509453013,"Stable"
"84",1981,60.1098401211534,12.447154295197,35.5767714838338,84.642908758473,"mediterranean",1980,2020,"s(endYear):region_100mediterranean",1.54649414937755,-2.07426824993237,5.16725654868747,"Stable"
"85",1982,95.8794597628998,5.38250815622595,85.2706540145387,106.488265511261,"alpine",1966,2020,"s(endYear):region_100alpine",1.62097012600452,0.108774648482626,3.13316560352641,"Increasing"
"86",1982,64.6421997304942,1.74077047486989,61.2111792314327,68.0732202295557,"atlantic",1921,2020,"s(endYear):region_100atlantic",-0.225294015203519,-0.463926560862325,0.0133385304552867,"Stable"
"87",1982,80.6966704162693,5.34897120636582,70.153965261931,91.2393755706077,"boreal",1966,2020,"s(endYear):region_100boreal",0.281038860306423,-0.231350719076208,0.793428439689054,"Stable"
"88",1982,93.3080039820265,4.58854927121913,84.2640738155965,102.351934148457,"continental",1955,2020,"s(endYear):region_100continental",0.414248033540858,-0.869486181091954,1.69798224817367,"Stable"
